example,sample,context,filtered,numeral,noun,standard,expression,tung/rus,num_type,num_semantics,num_composite,noun_semantics,wo,mass_noun,comment,nonstandard_speaker,pob,sex,edu,lang,speaker,yob,text,collection,all
А у бабки {{много}} сыночков,large_sample,много сыночков,,много,сыночков,standard,gen_pl,rus,pron,pron,,human,num_noun,other,,standard,Kolchom,F,secondary (specialized),Ulcha,mav,1955,SluchajShamaniliNaUxte (mav) [2020],online-corpus_202104,[pob: Kolchom; gender: F; edu: secondary (specialized); lng: Ulcha; speaker: mav; yob: 1955] \n [mav] А у бабки {{много}} сыночков
"Так же, как в вот <НРЗБ> {{много}}... таких же слов, как у нас",large_sample,много таких же слов,,много,таких же слов,standard,gen_pl,rus,pron,pron,,other,num_noun,other,,standard,Kolchom,F,secondary (specialized),Ulcha,mav,1955,Razgovory (gkb&ssa&mav) [2020],online-corpus_202104,"[pob: Kolchom; gender: F; edu: secondary (specialized); lng: Ulcha; speaker: mav; yob: 1955] Так же, как в вот <НРЗБ> {{много}}... таких же слов, как у нас"
"Они... да, у них {{много}} да=... чурных-то",large_sample,много чурных,,много,чурных,standard,gen_pl,rus,pron,pron,,other,num_noun,other,,standard,Kolchom,F,secondary (specialized),Ulcha,mav,1955,Razgovory (gkb&ssa&mav) [2020],online-corpus_202104,"[pob: Kolchom; gender: F; edu: secondary (specialized); lng: Ulcha; speaker: mav; yob: 1955] \n [mav] Они... да, у них {{много}} да=... чурных-то"
У них там {{больше}} нанайцев,large_sample,больше нанайцев,,много,нанайцев,standard,gen_pl,rus,pron,pron,,human,num_noun,other,,standard,Kolchom,F,secondary (specialized),Ulcha,mav,1955,Razgovory (gkb&ssa&mav) [2020],online-corpus_202104,[pob: Kolchom; gender: F; edu: secondary (specialized); lng: Ulcha; speaker: mav; yob: 1955] \n [mav] У них там {{больше}} нанайцев
{{Сколько}} лет... мы там жили,large_sample,сколько лет,,сколько,лет,standard,gen_pl,rus,pron,pron,,time,num_noun,other,,standard,Kolchom,F,secondary (specialized),Ulcha,mav,1955,RazgovoryVaria (inu&mav) [2020],online-corpus_202104,[pob: Kolchom; gender: F; edu: secondary (specialized); lng: Ulcha; speaker: mav; yob: 1955] {{Сколько}} лет... мы там жили
"Разносортица, ой, рыбы {{сколько}} раньше было ...",large_sample,рыбы сколько,,сколько,рыбы,standard,gen_mass,rus,pron,pron,,other,noun_num,mass,,standard,Dudi,F,higher?,Ulcha,nao,1955,PlacesDudi (nao) [2020],online-corpus_202104,"[pob: Dudi; gender: F; edu: higher?; lng: Ulcha; speaker: nao; yob: 1955] Разносортица, ой, рыбы {{сколько}} раньше было ..."
Открываю/ {{дверь}},excluded,excluded,,,,,,,,,,,,,,,Sorgolj camp,F,primary,Nanai,vsg,1932,KondonskijKlub (vsg) [2015],online-corpus_202104,[pob: Sorgolj camp; gender: F; edu: primary; lng: Nanai; speaker: vsg; yob: 1932] Открываю/ {{дверь}}
{{Сколько}} энергии было,large_sample,сколько энергии,,сколько,энергии,standard,gen_mass,rus,pron,pron,,other,num_noun,mass,,standard,Dudi,F,higher?,Ulcha,nao,1955,BioVKoljchemeUBabushki (nao) [2020],online-corpus_202104,[pob: Dudi; gender: F; edu: higher?; lng: Ulcha; speaker: nao; yob: 1955] \n [nao] {{Сколько}} энергии было
"Там {{столько}} юколы этой навешано, насушено уже ...",large_sample,столько юколы,,столько,юколы,standard,gen_mass,rus,pron,pron,,other,num_noun,mass,,standard,Dudi,F,higher?,Ulcha,nao,1955,BioVKoljchemeUBabushki (nao) [2020],online-corpus_202104,"[pob: Dudi; gender: F; edu: higher?; lng: Ulcha; speaker: nao; yob: 1955] Там {{столько}} юколы этой навешано, насушено уже ..."
{{Сколько}} проживет/ пусть {{столько}} и проживет\,excluded,excluded,,,,,,,,,,,,,,,Sorgolj camp,F,primary,Nanai,vsg,1932,Klad (vsg) [2012],online-corpus_202104,[pob: Sorgolj camp; gender: F; edu: primary; lng: Nanai; speaker: vsg; yob: 1932] {{Сколько}} проживет/ пусть {{столько}} и проживет\
Зайдешь/ сюда - еще\ {{семья}},excluded,excluded,,,,,,,,,,,,,,,Sorgolj camp,F,primary,Nanai,vsg,1932,Biografija3 (vsg) [2012],online-corpus_202104,[pob: Sorgolj camp; gender: F; edu: primary; lng: Nanai; speaker: vsg; yob: 1932] Зайдешь/ сюда - еще\ {{семья}}
Вот {{столько}} юколы было ...,large_sample,столько юколы,,столько,юколы,standard,gen_mass,rus,pron,pron,,other,num_noun,mass,,standard,Dudi,F,higher?,Ulcha,nao,1955,BioVKoljchemeUBabushki (nao) [2020],online-corpus_202104,[pob: Dudi; gender: F; edu: higher?; lng: Ulcha; speaker: nao; yob: 1955] Вот {{столько}} юколы было ...
"А потом уже свекровке, ну больше это предпочтений дают это свекровке",large_sample,больше предпочтений,,много,предпочтений,standard,gen_pl,rus,pron,pron,,other,num_noun,other,,standard,Ommi,F,higher,Nanai,nmch,1940,gld_nmch_110816_ns_Svadjba_rus_20210221_mr.eaf,elan_pract_202102,
"""Грамотных {{много}}, а умных {{мало}}"",- говорит.",large_sample,умных мало,,мало,умных,standard,gen_pl,rus,pron,pron,,human,noun_num,other,,standard,Dzhonka,F,secondary (specialized),Nanai,nsz,1934,Avtobiografija (nsz) [2016],online-corpus_202104,"[pob: Dzhonka; gender: F; edu: secondary (specialized); lng: Nanai; speaker: nsz; yob: 1934] ""Грамотных {{много}}, а умных {{мало}}"",- говорит."
У нас ... деды\ наши... родите= папкина\ {{семья}} родители ты знаешь/ какие были,excluded,excluded,,,,,,,,,,,,,,,Sorgolj camp,F,primary,Nanai,vsg,1932,Biografija2 (vsg) [2012],online-corpus_202104,[pob: Sorgolj camp; gender: F; edu: primary; lng: Nanai; speaker: vsg; yob: 1932] У нас ... деды\ наши... родите= папкина\ {{семья}} родители ты знаешь/ какие были
Бабушка тоже семьдесят лет с чем-то прожила,large_sample,семьдесят лет,,семьдесят,лет,standard,gen_pl,rus,main,c_round,,time,num_noun,other,,standard,Sjain,F,secondary,Bikin,avk,1956,gldbk_avk_110804_biografia_rus_210219_iv.eaf,elan_pract_202102,
"""Грамотных {{много}}, а умных {{мало}}"",- говорит.",large_sample,грамотных много,,много,грамотных,standard,gen_pl,rus,pron,pron,,human,noun_num,other,,standard,Dzhonka,F,secondary (specialized),Nanai,nsz,1934,Avtobiografija (nsz) [2016],online-corpus_202104,"[pob: Dzhonka; gender: F; edu: secondary (specialized); lng: Nanai; speaker: nsz; yob: 1934] ""Грамотных {{много}}, а умных {{мало}}"",- говорит."
А я - {{мало}} лет/ - не хочу\ собак запрягать\,large_sample,мало лет,,мало,лет,standard,gen_pl,rus,pron,pron,,time,num_noun,other,,standard,Daoka camp,F,primary?,Nanai,oek,1920,BioNanajskajaJeda (oek) [2011],online-corpus_202104,[pob: Daoka camp; gender: F; edu: primary?; lng: Nanai; speaker: oek; yob: 1920] \n [oek] А я - {{мало}} лет/ - не хочу\ собак запрягать\
А ветвей вот этих сохатиных гово= ну в легенде говорится было чуть чуть эти дере-деревьев чуть {{меньше}} чем ветвей этих ээ чем этих сохатых.,large_sample,деревьев меньше,,мало,деревьев,standard,gen_pl,rus,pron,pron,,other,noun_num,other,,standard,Kondon,F,higher,Nanai,sds,1944,legenda_o_Samarax (sds) [2011],online-corpus_202104,[pob: Kondon; gender: F; edu: higher; lng: Nanai; speaker: sds; yob: 1944] А ветвей вот этих сохатиных гово= ну в легенде говорится было чуть чуть эти дере-деревьев чуть {{меньше}} чем ветвей этих ээ чем этих сохатых.
А там {{столько}} {{много}} этой кеты.,large_sample,сколько много кеты,,много,кеты,standard,gen_mass,rus,pron,pron,,other,num_noun,mass,,standard,Kondon,F,higher,Nanai,sds,1944,legenda_o_Samarax (sds) [2011],online-corpus_202104,[pob: Kondon; gender: F; edu: higher; lng: Nanai; speaker: sds; yob: 1944] А там {{столько}} {{много}} этой кеты.
"{{Столько}} рыбы толстым слоем, рыба шла.",large_sample,столько рыбы,,столько,рыбы,standard,gen_mass,rus,pron,pron,,other,num_noun,mass,,standard,Kondon,F,higher,Nanai,sds,1944,legenda_o_Samarax (sds) [2011],online-corpus_202104,"[pob: Kondon; gender: F; edu: higher; lng: Nanai; speaker: sds; yob: 1944] {{Столько}} рыбы толстым слоем, рыба шла."
Все равно детей же {{много}} было,large_sample,детей много,,много,детей,standard,gen_pl,rus,pron,pron,,human,noun_num,other,,standard,Kolchom,F,secondary (specialized),Ulcha,ttr,1959,BioStaryjDom (ttr) [2020],online-corpus_202104,[pob: Kolchom; gender: F; edu: secondary (specialized); lng: Ulcha; speaker: ttr; yob: 1959] Все равно детей же {{много}} было
Под черный камень {{два}} кувшина\ золото\ стоит,large&small_sample,два кувшина,,два,кувшина,standard,gen_sg,rus,paucal,a_two-four,,other,num_noun,other,,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,Klad (vsg) [2012],online-corpus_202104,[pob: Sorgolj camp; gender: F; edu: primary; lng: Nanai; speaker: vsg; yob: 1932] Под черный камень {{два}} кувшина\ золото\ стоит
А ты {{два}} кувшина представляешь/ {{сколько}} там это деньги\,large&small_sample,два кувшина,,два,кувшина,standard,gen_sg,rus,paucal,a_two-four,,other,num_noun,other,,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,Klad (vsg) [2012],online-corpus_202104,[pob: Sorgolj camp; gender: F; edu: primary; lng: Nanai; speaker: vsg; yob: 1932] А ты {{два}} кувшина представляешь/ {{сколько}} там это деньги\
Ты попробуй сказать {{два}} кувшина-то там {{сколько}} миллион деньги\,large&small_sample,два кувшина,,два,кувшина,standard,gen_sg,rus,paucal,a_two-four,,other,num_noun,other,,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,Klad (vsg) [2012],online-corpus_202104,[pob: Sorgolj camp; gender: F; edu: primary; lng: Nanai; speaker: vsg; yob: 1932] \n [vsg] Ты попробуй сказать {{два}} кувшина-то там {{сколько}} миллион деньги\
Только ... разная {{дверь\}},excluded,excluded,,,,,,,,,,,,,,,Sorgolj camp,F,primary,Nanai,vsg,1932,MedvezhijPrazdnik (vsg) [2011],online-corpus_202104,[pob: Sorgolj camp; gender: F; edu: primary; lng: Nanai; speaker: vsg; yob: 1932] Только ... разная {{дверь\}}
"Я сейчас вот эти... {{две}} штуки\ в день съедаю, помидоры",large&small_sample,две штуки,,два,штуки,standard,gen_sg,rus,paucal,a_two-four,,other,num_noun,other,,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,Biografija1 (vsg) [2012],online-corpus_202104,"[pob: Sorgolj camp; gender: F; edu: primary; lng: Nanai; speaker: vsg; yob: 1932] Я сейчас вот эти... {{две}} штуки\ в день съедаю, помидоры"
{{Четвертая}} части\ себе оставила\,excluded,excluded,,,,,,,,,,,,,,,Sorgolj camp,F,primary,Nanai,vsg,1932,Medvezhatina (vsg) [2012],online-corpus_202104,[pob: Sorgolj camp; gender: F; edu: primary; lng: Nanai; speaker: vsg; yob: 1932] {{Четвертая}} части\ себе оставила\
Эта ... вот эта девка/ который я сейчас рассказываю\ это ... до нашего ... деда {{три}} поколена\ наверно,large&small_sample,три поколена,,три,поколена,standard,gen_sg,rus,paucal,a_two-four,,other,num_noun,other,,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,NevestaUmerla (vsg) [2015],online-corpus_202104,[pob: Sorgolj camp; gender: F; edu: primary; lng: Nanai; speaker: vsg; yob: 1932] \n [vsg] Эта ... вот эта девка/ который я сейчас рассказываю\ это ... до нашего ... деда {{три}} поколена\ наверно
Ну... ну все равно {{семью}} хорошо\ обеспе= ... хорошо\,excluded,excluded,,,,,,,,,,,,,,,Sorgolj camp,F,primary,Nanai,vsg,1932,VydaliZaStarika (vsg) [2015],online-corpus_202104,[pob: Sorgolj camp; gender: F; edu: primary; lng: Nanai; speaker: vsg; yob: 1932] Ну... ну все равно {{семью}} хорошо\ обеспе= ... хорошо\
А потом папка\ мы с== наша {{семья\}},excluded,excluded,,,,,,,,,,,,,,,Sorgolj camp,F,primary,Nanai,vsg,1932,MedvezhijPrazdnik (vsg) [2011],online-corpus_202104,[pob: Sorgolj camp; gender: F; edu: primary; lng: Nanai; speaker: vsg; yob: 1932] А потом папка\ мы с== наша {{семья\}}
Вот так\ папка - разделили/ на {{три}} части -,large&small_sample,три части,,три,части,standard,gen_sg,rus,paucal,a_two-four,,other,num_noun,other,,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,Medvezhatina (vsg) [2012],online-corpus_202104,[pob: Sorgolj camp; gender: F; edu: primary; lng: Nanai; speaker: vsg; yob: 1932] Вот так\ папка - разделили/ на {{три}} части -
Там куска {{четыре}} ли {{пять\}},large&small_sample,куска четыре ли пять,,четыре,куска,standard,gen_sg,rus,paucal,a_two-four,,other,noun_num,other,,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,MjasoPrivezli (vsg) [2015],online-corpus_202104,[pob: Sorgolj camp; gender: F; edu: primary; lng: Nanai; speaker: vsg; yob: 1932] Там куска {{четыре}} ли {{пять\}}
Там думаешь {{много/}} что ль - там немножко\,excluded,excluded,,,,,,,,,,,,,,,Sorgolj camp,F,primary,Nanai,vsg,1932,Medvezhatina (vsg) [2012],online-corpus_202104,[pob: Sorgolj camp; gender: F; edu: primary; lng: Nanai; speaker: vsg; yob: 1932] \n [vsg] Там думаешь {{много/}} что ль - там немножко\
Тогда знаешь/ {{сколько}} войну время было это...,excluded,excluded,,,,,,,,,,,,,,,Sorgolj camp,F,primary,Nanai,vsg,1932,DedPoshelNaOxotu (vsg) [2015],online-corpus_202104,[pob: Sorgolj camp; gender: F; edu: primary; lng: Nanai; speaker: vsg; yob: 1932] Тогда знаешь/ {{сколько}} войну время было это...
Это я вам\ только расскажу {{сколько}} развела\,excluded,excluded,,,,,,,,,,,,,,,Sorgolj camp,F,primary,Nanai,vsg,1932,Medvezhatina (vsg) [2012],online-corpus_202104,[pob: Sorgolj camp; gender: F; edu: primary; lng: Nanai; speaker: vsg; yob: 1932] Это я вам\ только расскажу {{сколько}} развела\
Вот уже {{сколько\}} я живу,excluded,excluded,,,,,,,,,,,,,,,Sorgolj camp,F,primary,Nanai,vsg,1932,KondonskijKlub (vsg) [2015],online-corpus_202104,[pob: Sorgolj camp; gender: F; edu: primary; lng: Nanai; speaker: vsg; yob: 1932] \n [vsg] Вот уже {{сколько\}} я живу
{{Четыре\/}} мешка поймала,large&small_sample,четыре мешка,,четыре,мешка,standard,gen_sg,rus,paucal,a_two-four,,other,num_noun,other,,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,Biografija3 (vsg) [2012],online-corpus_202104,[pob: Sorgolj camp; gender: F; edu: primary; lng: Nanai; speaker: vsg; yob: 1932] {{Четыре\/}} мешка поймала
Есть там бабушка сказала {{девять\}} дыр,,девять дыр,,девять,дыр,standard,gen_pl,rus,main,b_five-ten,,other,num_noun,other,,nonstandard,Sira camp,F,secondary,Nanai,itg,1945,EthnoShamany (itg) [2017],online-corpus_202104,[pob: Sira camp; gender: F; edu: secondary; lng: Nanai; speaker: itg; yob: 1945] Есть там бабушка сказала {{девять\}} дыр
{{Семьи-то}} таскай/ ... {gāŋasoj/ ǯokčiari},excluded,excluded,,,,,,,,,,,,,,,Sorgolj camp,F,primary,Nanai,vsg,1932,Medvezhatina (vsg) [2012],online-corpus_202104,[pob: Sorgolj camp; gender: F; edu: primary; lng: Nanai; speaker: vsg; yob: 1932] {{Семьи-то}} таскай/ ... {gāŋasoj/ ǯokčiari}
"Уже лет, наверное, шесть-семь, наверное, как назад",,лет шесть-семь,,шесть,лет,standard,gen_pl,rus,main,b_five-ten,,time,noun_num,other,,nonstandard,Achan,F,secondary,Nanai,rchk,1942,gld_rchk_110807_so_Kazama-rus_20210220_ek.eaf,elan_pract_202102,
Вот\ именно чтоб {{девять}} тарелок\,,девять тарелок,,девять,тарелок,standard,gen_pl,rus,main,b_five-ten,,other,num_noun,other,,nonstandard,Achan,F,secondary,Nanai,rchk,1942,Poxorony (rchk) [2011],online-corpus_202104,[pob: Achan; gender: F; edu: secondary; lng: Nanai; speaker: rchk; yob: 1942] Вот\ именно чтоб {{девять}} тарелок\
По семь ведер в день собирала огурцов,,семь ведер,,семь,ведер,standard,gen_pl,rus,main,b_five-ten,,other,num_noun,other,,nonstandard,Achan,F,secondary,Nanai,rchk,1942,gld_rchk_110807_so_o sebe3-rus_16022021_KL.eaf,elan_pract_202102,
полно их ... {{пять}} ... разных это а у вас всего раз {{два}} и обчёлся,,пять разных,,пять,разных,standard,gen_pl,rus,main,b_five-ten,,other,num_noun,other,,nonstandard,Naikhin,F,higher,Nanai,ssb,1933,ssb_20170809_nst_NaniVRestorane (ssb) [2017],online-corpus_202104,[pob: Naikhin; gender: F; edu: higher; lng: Nanai; speaker: ssb; yob: 1933] \n [ssb] полно их ... {{пять}} ... разных это а у вас всего раз {{два}} и обчёлся
Зашла/ эээ открываю {{дверь/}},excluded,excluded,,,,,,,,,,,,,,,Sorgolj camp,F,primary,Nanai,vsg,1932,KondonskijKlub (vsg) [2015],online-corpus_202104,[pob: Sorgolj camp; gender: F; edu: primary; lng: Nanai; speaker: vsg; yob: 1932] \n [vsg] Зашла/ эээ открываю {{дверь/}}
"Ты же {{много}} писала, {{семь}} листов писала.",,семь листов,,семь,листов,standard,gen_pl,rus,main,b_five-ten,,other,num_noun,other,,nonstandard,Naikhin,F,higher,Nanai,ssb,1933,Shkola (ssb) [2015],online-corpus_202104,"[pob: Naikhin; gender: F; edu: higher; lng: Nanai; speaker: ssb; yob: 1933] Ты же {{много}} писала, {{семь}} листов писала."
"<НРЗБ> {{семь}}, ну положено {{семь}} листов писать.",,семь листов,,семь,листов,standard,gen_pl,rus,main,b_five-ten,,other,num_noun,other,,nonstandard,Naikhin,F,higher,Nanai,ssb,1933,Shkola (ssb) [2015],online-corpus_202104,"[pob: Naikhin; gender: F; edu: higher; lng: Nanai; speaker: ssb; yob: 1933] <НРЗБ> {{семь}}, ну положено {{семь}} листов писать."
"Так, для себя закатаю банок пятьдесят",,банок пятьдесят,,пятьдесят,банок,standard,gen_pl,rus,main,c_round,,other,noun_num,other,,nonstandard,Achan,F,secondary,Nanai,rchk,1942,gld_rchk_110807_so_o sebe3-rus_16022021_KL.eaf,elan_pract_202102,
У меня всь= восемь детей,,восемь детей,,восемь,детей,standard,gen_pl,rus,main,b_five-ten,,human,num_noun,other,,nonstandard,Achan,F,secondary,Nanai,rchk,1942,gld_rchk_110807_so_o sebe1-rus_15022021_KL.eaf,elan_pract_202102,
"А она {{тридцать}} {{девятого/}} года, младше/",excluded,excluded,,,,,,,,,,,,,,,Sorgolj camp,F,primary,Nanai,vsg,1932,Biografija1 (vsg) [2012],online-corpus_202104,"[pob: Sorgolj camp; gender: F; edu: primary; lng: Nanai; speaker: vsg; yob: 1932] А она {{тридцать}} {{девятого/}} года, младше/"
А я ... ну лет может {{шестнадцать\}} {{семнадцать\}},large&small_sample,лет шестнадцать-семнадцать,,шестнадцать,лет,standard,gen_pl,rus,main,d_eleven-nineteen,,time,noun_num,other,,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,NazvaliDegde (vsg) [2015],online-corpus_202104,[pob: Sorgolj camp; gender: F; edu: primary; lng: Nanai; speaker: vsg; yob: 1932] А я ... ну лет может {{шестнадцать\}} {{семнадцать\}}
Там человек {{восемь\}} берут,,человек восемь,,восемь,человек,standard,gen_pl,rus,main,b_five-ten,,human,noun_num,other,,nonstandard,Achan,F,secondary,Nanai,rchk,1942,Poxorony (rchk) [2011],online-corpus_202104,[pob: Achan; gender: F; edu: secondary; lng: Nanai; speaker: rchk; yob: 1942] \n [rchk] Там человек {{восемь\}} берут
"Там человек восемь берут, вот, и тащат",,человек восемь,,восемь,человек,standard,gen_pl,rus,main,b_five-ten,,human,noun_num,other,,nonstandard,Achan,F,secondary,Nanai,rchk,1942,gld_rchk_110807_so_poxorony-rus_16022021_KL.eaf,elan_pract_202102,
Тут {{дверь\}},excluded,excluded,,,,,,,,,,,,,,,Sorgolj camp,F,primary,Nanai,vsg,1932,Biografija3 (vsg) [2012],online-corpus_202104,[pob: Sorgolj camp; gender: F; edu: primary; lng: Nanai; speaker: vsg; yob: 1932] Тут {{дверь\}}
Раз\ {{два\}} {{три\}} ... {{четыре\}} {{пять\}},excluded,excluded,,,,,,,,,,,,,,,Sorgolj camp,F,primary,Nanai,vsg,1932,Biografija1 (vsg) [2012],online-corpus_202104,[pob: Sorgolj camp; gender: F; edu: primary; lng: Nanai; speaker: vsg; yob: 1932] Раз\ {{два\}} {{три\}} ... {{четыре\}} {{пять\}}
Нас только {{восемь}} человек.,,восемь человек,,восемь,человек,standard,gen_pl,rus,main,b_five-ten,,human,num_noun,other,,nonstandard,Naikhin,F,higher,Nanai,ssb,1933,Shkola (ssb) [2015],online-corpus_202104,[pob: Naikhin; gender: F; edu: higher; lng: Nanai; speaker: ssb; yob: 1933] Нас только {{восемь}} человек.
"значит там залез, а там аж {{девять}} дзули было.",,девять дзули,,девять,дзули,standard,gen_pl,rus,main,b_five-ten,,human,num_noun,other,,nonstandard,Naikhin,F,higher,Nanai,ssb,1933,Diuli (ssb) [2011],online-corpus_202104,"[pob: Naikhin; gender: F; edu: higher; lng: Nanai; speaker: ssb; yob: 1933] значит там залез, а там аж {{девять}} дзули было."
Опять\ захожу тут {{семья\}},excluded,excluded,,,,,,,,,,,,,,,Sorgolj camp,F,primary,Nanai,vsg,1932,Biografija3 (vsg) [2012],online-corpus_202104,[pob: Sorgolj camp; gender: F; edu: primary; lng: Nanai; speaker: vsg; yob: 1932] Опять\ захожу тут {{семья\}}
И вот с потолка они спустили {{девять}} ... дюлей ...,,девять дюлей,,девять,дюлей,standard,gen_pl,rus,main,b_five-ten,,human,num_noun,other,,nonstandard,Naikhin,F,higher,Nanai,ssb,1933,NashliDiuli (ssb) [2011],online-corpus_202104,[pob: Naikhin; gender: F; edu: higher; lng: Nanai; speaker: ssb; yob: 1933] И вот с потолка они спустили {{девять}} ... дюлей ...
"дед бабы дзули, и дети, вот, {{семеро}} детей.",,семеро детей,,семеро,детей,standard,gen_pl,rus,cumulative,b_five-ten,,human,num_noun,other,,nonstandard,Naikhin,F,higher,Nanai,ssb,1933,Diuli (ssb) [2011],online-corpus_202104,"[pob: Naikhin; gender: F; edu: higher; lng: Nanai; speaker: ssb; yob: 1933] дед бабы дзули, и дети, вот, {{семеро}} детей."
Потом я это==...детей у меня {{пятеро}} было...свои...местные тут,,детей пятеро,,пятеро,детей,standard,gen_pl,rus,cumulative,b_five-ten,,human,noun_num,other,,nonstandard,Kondon,F,?,Nanai,tmb,1929,OSebe (tmb) [2011],online-corpus_202104,[pob: Kondon; gender: F; edu: ?; lng: Nanai; speaker: tmb; yob: 1929] Потом я это==...детей у меня {{пятеро}} было...свои...местные тут
Там у нее семь девок и двое парней,,семь девок,,семь,девок,standard,gen_pl,rus,main,b_five-ten,,human,num_noun,other,,nonstandard,Xaldon?,F,primary?,Kur-Urmi,vak,1932,gldku_vak_110803_so_o sebe-rus_210217_iv.eaf,elan_pract_202102,
И они консилиум собрали на {{пять}} человек врачей...,,пять человек врачей,,пять,человек врачей,standard,gen_pl,rus,main,b_five-ten,,human,num_noun,other,,nonstandard,Kolchom,F,higher,Ulcha,vas,1933,BioRazgovory2 (vas) [2017],online-corpus_202104,[pob: Kolchom; gender: F; edu: higher; lng: Ulcha; speaker: vas; yob: 1933] И они консилиум собрали на {{пять}} человек врачей...
Самый младший ихний брат/ войну время {{семеро}} детей\ осталось,large&small_sample,семеро детей,,семеро,детей,standard,gen_pl,rus,cumulative,b_five-ten,,human,num_noun,other,,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,RanjsheVKondone (vsg) [2015],online-corpus_202104,[pob: Sorgolj camp; gender: F; edu: primary; lng: Nanai; speaker: vsg; yob: 1932] Самый младший ихний брат/ войну время {{семеро}} детей\ осталось
Наточит там {{четыре}} или {{пять}} эээ пар,,четыре или пять пар,,пять,пар,standard,gen_pl,rus,main,b_five-ten,,other,num_noun,other,,nonstandard,Kondon,F,?,Nanai,tmb,1929,OSebe (tmb) [2011],online-corpus_202104,[pob: Kondon; gender: F; edu: ?; lng: Nanai; speaker: tmb; yob: 1929] \n [tmb] Наточит там {{четыре}} или {{пять}} эээ пар
{{Семеро}} детей\,large&small_sample,семеро детей,,семеро,детей,standard,gen_pl,rus,cumulative,b_five-ten,,human,num_noun,other,,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,RanjsheVKondone (vsg) [2015],online-corpus_202104,[pob: Sorgolj camp; gender: F; edu: primary; lng: Nanai; speaker: vsg; yob: 1932] {{Семеро}} детей\
Поэтому меня заставляли и работать\ {{много}},excluded,excluded,,,,,,,,,,,,,,,Sorgolj camp,F,primary,Nanai,vsg,1932,Biografija1 (vsg) [2012],online-corpus_202104,[pob: Sorgolj camp; gender: F; edu: primary; lng: Nanai; speaker: vsg; yob: 1932] \n [vsg] Поэтому меня заставляли и работать\ {{много}}
"Потому что много двигаешься, {{10}} этих...надо пару раз отдохнуть, говорит, {{10}}...",,десять этих,,десять,этих,standard,gen_pl,rus,main,b_five-ten,,other,num_noun,other,,nonstandard,Kolchom,F,higher,Ulcha,vas,1933,BioRazgovory2 (vas) [2017],online-corpus_202104,"[pob: Kolchom; gender: F; edu: higher; lng: Ulcha; speaker: vas; yob: 1933] Потому что много двигаешься, {{10}} этих...надо пару раз отдохнуть, говорит, {{10}}..."
"Ну рядом дом, через {{пять}} домов бегал...",,пять домов,,пять,домов,standard,gen_pl,rus,main,b_five-ten,,other,num_noun,other,,nonstandard,Kolchom,F,higher,Ulcha,vas,1933,BioRazgovory2 (vas) [2017],online-corpus_202104,"[pob: Kolchom; gender: F; edu: higher; lng: Ulcha; speaker: vas; yob: 1933] Ну рядом дом, через {{пять}} домов бегал..."
"Семеро парней, одна девочка у меня",,семеро парней,,семеро,парней,standard,gen_pl,rus,cumulative,b_five-ten,,human,num_noun,other,,nonstandard,Achan,F,secondary,Nanai,rchk,1942,gld_rchk_110807_so_o sebe1-rus_15022021_KL.eaf,elan_pract_202102,
{{Четыре}} {{три\}} ээээ {duj anan'a} мне уже оставили\/,excluded,excluded,,,,,,,,,,,,,,,Sorgolj camp,F,primary,Nanai,vsg,1932,VydaliZaStarika (vsg) [2015],online-corpus_202104,[pob: Sorgolj camp; gender: F; edu: primary; lng: Nanai; speaker: vsg; yob: 1932] {{Четыре}} {{три\}} ээээ {duj anan'a} мне уже оставили\/
"Вот он где-то на= примерно {{семьдесят}} сантиметров в длину/, да\/ и в высоту где-то полметра\",large_sample,семьдесят сантиметров,,семьдесят,сантиметров,standard,gen_pl,rus,main,c_round,,measure,num_noun,other,,standard,Kondon,F,higher,Nanai,lfs,1954,NanajPeople (lfs) [2011],online-corpus_202104,"[pob: Kondon; gender: F; edu: higher; lng: Nanai; speaker: lfs; yob: 1954] Вот он где-то на= примерно {{семьдесят}} сантиметров в длину/, да\/ и в высоту где-то полметра\"
"Я уже - у меня вон дети\ какие, сама как вот {{сколько\/}}",excluded,excluded,,,,,,,,,,,,,,,Sorgolj camp,F,primary,Nanai,vsg,1932,Klad (vsg) [2012],online-corpus_202104,"[pob: Sorgolj camp; gender: F; edu: primary; lng: Nanai; speaker: vsg; yob: 1932] Я уже - у меня вон дети\ какие, сама как вот {{сколько\/}}"
Родила {{четверо}} она родила/,excluded,excluded,,,,,,,,,,,,,,,Sorgolj camp,F,primary,Nanai,vsg,1932,VydaliZaStarika (vsg) [2015],online-corpus_202104,[pob: Sorgolj camp; gender: F; edu: primary; lng: Nanai; speaker: vsg; yob: 1932] Родила {{четверо}} она родила/
